,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_pca__n_components,param_svc__C,param_svc__class_weight,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,11.977802372,0.437407922745,0.853529369265,0.911966040328,500,0.01,,"{'svc__class_weight': None, 'pca__n_components': 500, 'svc__C': 0.01}",3,0.839620634022,0.913514242347,0.856809536148,0.910233306661,0.852574158186,0.911702494878,0.863542638221,0.911251063577,0.855099879749,0.913129094175,6.99891164362,0.0961982946722,0.00784674324047,0.00121100269695
1,27.749646759,0.713648843765,0.853548910603,0.968465760624,500,1.0,,"{'svc__class_weight': None, 'pca__n_components': 500, 'svc__C': 1.0}",2,0.838160447716,0.967522930963,0.864121561826,0.967715078374,0.849230899225,0.970376848419,0.862258127043,0.967985620136,0.853973517204,0.968728325227,6.15351996856,0.0633230904935,0.00941553724376,0.0010396329381
2,75.622074604,0.880236577988,0.840199653726,0.971057572347,500,100.0,,"{'svc__class_weight': None, 'pca__n_components': 500, 'svc__C': 100.0}",5,0.831391675219,0.96969285538,0.849610130536,0.970133195311,0.832055840958,0.974028924354,0.848083349279,0.970766587348,0.839857272638,0.970666299344,6.65926829207,0.26325892931,0.0076776184581,0.00153516285043
3,81.9564718246,0.923237323761,0.825701367858,0.946567914484,500,10000.0,,"{'svc__class_weight': None, 'pca__n_components': 500, 'svc__C': 10000.0}",7,0.811311615274,0.941984364289,0.836376321953,0.945221551069,0.820553273732,0.952113450708,0.835766163075,0.947019261264,0.824499465258,0.946500945089,7.99175113993,0.134862100066,0.00948964878267,0.00327971942878
4,85.7287701607,0.856799459457,0.82661732478,0.945993917715,500,1000000.0,,"{'svc__class_weight': None, 'pca__n_components': 500, 'svc__C': 1000000.0}",6,0.801103174116,0.935938862152,0.838692391523,0.947690122731,0.824474948621,0.950994669307,0.834567884023,0.943375119755,0.834248225615,0.951970814629,2.19947979498,0.220928516452,0.0135853666594,0.00585781819079
5,96.1802509308,1.20136179924,0.825504322509,0.945612287515,500,100000000.0,,"{'svc__class_weight': None, 'pca__n_components': 500, 'svc__C': 100000000.0}",8,0.801086113775,0.935926954314,0.838684028698,0.947680386672,0.824473930695,0.950986846946,0.834540772498,0.943361944495,0.828736766881,0.950105305147,6.90756302068,0.238131456977,0.0131386559837,0.00551760552359
6,110.271559954,1.49058260918,0.825503069263,0.945612204395,500,10000000000.0,,"{'svc__class_weight': None, 'pca__n_components': 500, 'svc__C': 10000000000.0}",9,0.801086113775,0.935926851533,0.838684283975,0.947680369283,0.824467409188,0.950986919021,0.834540772498,0.94336162967,0.828736766881,0.950105252471,14.7341450767,0.234988169538,0.0131388097512,0.00551767144699
7,99.2551408291,2.02963495255,0.855697866582,0.921685920209,1000,0.01,,"{'svc__class_weight': None, 'pca__n_components': 1000, 'svc__C': 0.01}",1,0.842659435982,0.922987561377,0.857902771964,0.920186747481,0.854384200063,0.92111939708,0.865538357667,0.9211514627,0.858004567234,0.922984432409,13.7074751421,0.417314407417,0.0074665136802,0.00111664818229
8,113.250854635,1.95342712402,0.85010798168,0.991323984696,1000,1.0,,"{'svc__class_weight': None, 'pca__n_components': 1000, 'svc__C': 1.0}",4,0.831353923116,0.991954131211,0.859316756156,0.990535883285,0.845567772282,0.991937364968,0.859013530775,0.991125855574,0.855287926072,0.991066688441,6.28544793413,0.198176480498,0.01061386235,0.000547700709194
9,194.739906836,1.57602977753,0.821506976066,0.999719707219,1000,100.0,,"{'svc__class_weight': None, 'pca__n_components': 1000, 'svc__C': 100.0}",11,0.801153006775,0.999722978461,0.831355547839,0.999898260345,0.817015700776,0.999803014199,0.829806304466,0.99944031431,0.828204320471,0.999733968782,6.24963496675,0.374408757135,0.0113594300873,0.000153033174571
10,176.075353622,1.22716274261,0.819257413321,0.999274830647,1000,10000.0,,"{'svc__class_weight': None, 'pca__n_components': 1000, 'svc__C': 10000.0}",13,0.799522789762,0.999411691158,0.829161239324,0.99960192425,0.814292269842,0.999313849,0.827878526235,0.998842755396,0.82543224144,0.999203933433,4.61002675205,0.524134483798,0.0111771720613,0.000252570344157
11,160.717299032,0.355825567245,0.819035442861,0.999137516363,1000,1000000.0,,"{'svc__class_weight': None, 'pca__n_components': 1000, 'svc__C': 1000000.0}",14,0.798760134274,0.999409375558,0.829246273188,0.999415485948,0.814542284854,0.99930999542,0.826883371575,0.998578189663,0.825745150416,0.998974535227,9.36408035022,0.0366369578122,0.011332676857,0.000322593473322
12,126.163048792,0.337288427353,0.820523395299,0.999320577775,1000,100000000.0,,"{'svc__class_weight': None, 'pca__n_components': 1000, 'svc__C': 100000000.0}",12,0.798761974866,0.999409375558,0.829217498937,0.999602323446,0.814532840125,0.999309972,0.827834609956,0.998995833524,0.832270052609,0.999285384347,12.1407655912,0.0366738754145,0.0124617127742,0.000197015510873
13,86.9158625126,0.326995944977,0.821538047398,0.999228197728,1000,10000000000.0,,"{'svc__class_weight': None, 'pca__n_components': 1000, 'svc__C': 10000000000.0}",10,0.796874456176,0.998885337786,0.832020434106,0.999446192269,0.818025232286,0.999211306879,0.828500061812,0.99931276736,0.832270052609,0.999285384347,12.1486875521,0.048397979455,0.0133727978647,0.000187500502477
